x	y	codepoint
0.2840185	0.038111664	10462
0.29395896	0.05476536	10463
0.26558307	0.02956971	10464
0.27174777	0.05096884	10465
0.27259982	0.020366224	10466
0.27743223	0.048405804	10467
0.27123535	0.00474812	10468
0.2735857	0.03785085	10469
0.2808715	0.054904617	1047
0.27540588	0.00153717	10470
0.2813479	0.02735054	10471
0.27051938	0.047497258	10472
0.27630654	0.05546999	10473
0.2760371	0.048776135	10474
0.2841956	0.054743033	10475
0.27346516	0.035239346	10476
0.279721	0.05185803	10477
0.27913183	0.03222157	10478
0.29021847	0.053086646	10479
0.32488057	0.042891204	1048
0.2813361	0.034130134	10480
0.2861686	0.05394963	10481
0.28603235	0.021811184	10482
0.29182488	0.044739693	10483
0.28514946	0.011698343	10484
0.2854999	0.04209706	10485
0.29025224	0.007342089	10486
0.29602635	0.031530485	10487
0.28127584	0.044955365	10488
0.28983963	0.0565818	10489
0.3258959	0.14567386	1049
0.28937832	0.047837254	10490
0.2976605	0.05347859	10491
0.2864233	0.037670378	10492
0.29462567	0.054413717	10493
0.29356116	0.031953078	10494
0.3036835	0.051947635	10495
0.1532922	-0.07283137	10496
0.15018903	-0.06706373	10497
0.14438751	-0.052428003	10498
0.14424387	-0.06351286	10499
0.22096272	-0.047005963	105
0.27650952	0.0051540546	1050
0.13946787	-0.061462052	10500
0.15644641	-0.06630076	10501
0.14795737	-0.057440206	10502
0.14201754	-0.060788173	10503
0.21727805	0.18342258	10504
0.21961534	0.068470284	10505
0.08127109	-0.17246203	10506
0.073349476	-0.16891137	10507
0.17132351	-0.067524694	10508
0.16906524	-0.06807698	10509
0.2633959	0.028235884	1051
0.177119	-0.0657473	10510
0.16597906	-0.061855733	10511
0.15845421	-0.07671596	10512
0.17347482	-0.06431537	10513
0.21064205	0.14836942	10514
0.23053356	0.19873568	10515
0.15641606	-0.06306455	10516
0.15795222	-0.07202342	10517
0.15696925	-0.062144928	10518
0.14736858	-0.062962525	10519
0.32877246	0.044757582	1052
0.14833312	-0.06682077	10520
0.16402851	-0.061431613	10521
0.17359674	-0.07271623	10522
0.14985764	-0.06295985	10523
0.17033742	-0.069134034	10524
0.16383743	-0.066838644	10525
0.15607737	-0.05063025	10526
0.16154672	-0.059633672	10527
0.15679343	-0.07229698	10528
0.12899403	0.06962522	10529
0.31818157	0.05108619	1053
0.13580526	0.064065434	10530
0.141584	0.07511274	10531
0.1442495	0.105033495	10532
0.14868696	0.073569484	10533
0.14054886	-0.10566048	10534
0.12782505	0.07000681	10535
0.13309878	0.06289519	10536
0.11629737	0.04040092	10537
0.12299679	0.08052406	10538
0.14022341	-0.10493724	10539
0.32516387	0.09162439	1054
0.14029856	-0.09528848	10540
0.124432705	0.062682964	10541
0.123339795	0.06280217	10542
0.14457072	0.06292572	10543
0.13265869	0.053212848	10544
0.12396563	0.06770044	10545
0.13141704	0.069928564	10546
0.17057937	-0.06459632	10547
0.14110425	-0.06676497	10548
0.061790638	-0.0052490355	10549
0.31762752	0.08534602	1055
0.14647141	-0.044289537	10550
0.08503467	-0.0022706075	10551
0.24552499	0.031527817	10552
0.24028957	0.019051617	10553
0.170253	-0.08727113	10554
0.15920366	-0.087531134	10555
0.15472554	-0.07654302	10556
0.16626568	-0.09311817	10557
0.14398381	-0.07214824	10558
0.1505788	-0.07159318	10559
0.2809612	0.0814737	1056
0.09755569	-0.10679301	10560
0.094013564	-0.10718604	10561
0.123288	-0.016952414	10562
0.11815176	-0.023693496	10563
0.1355011	-0.0399435	10564
0.1582275	-0.06693214	10565
0.1498692	-0.060341064	10566
0.14775856	-0.06598807	10567
0.14829572	-0.07350179	10568
0.2601618	0.06649686	10569
0.30203137	0.09000823	1057
0.16318557	-0.073419936	10570
0.17034735	-0.072439715	10571
0.21856348	0.04953717	10572
0.21631978	0.045134336	10573
0.1652242	-0.07035859	10574
0.23040709	0.049976982	10575
0.16826566	-0.06940351	10576
0.20275204	0.046762507	10577
0.16792366	-0.06708378	10578
0.16768095	-0.055115044	10579
0.1974796	0.04707727	1058
0.1985011	0.12867957	10580
0.22605193	0.032399602	10581
0.1739764	-0.07046333	10582
0.1710753	-0.05765932	10583
